"","year","month","day","objects","weights_lbs"
"1",2018,8,12,"raisin",19.75
"2",2018,8,12,"simone",10.875
"3",2018,8,12,"gagne",10.625
"4",2018,8,19,"raisin",20.1875
"5",2018,8,19,"simone",11.125
"6",2018,8,19,"gagne",10.75
"7",2018,8,19,"std",20.9875
"8",2018,8,22,"raisin",20.25
"9",2018,8,22,"simone",11.25
"10",2018,8,22,"gagne",10.8125
"11",2018,8,22,"std",20.975
"12",2018,8,24,"raisin",19.8125
"13",2018,8,24,"simone",11.25
"14",2018,8,24,"gagne",11.0625
"15",2018,8,24,"std",20.975
"16",2018,8,27,"raisin",19.375
"17",2018,8,27,"simone",10.5
"18",2018,8,27,"gagne",10.375
"19",2018,8,27,"std",20.975
"20",2018,8,29,"raisin",19.375
"21",2018,8,29,"simone",11
"22",2018,8,29,"gagne",11.0625
"23",2018,8,29,"std",20.975
"24",2018,8,31,"raisin",19.5625
"25",2018,8,31,"simone",11
"26",2018,8,31,"gagne",10.75
"27",2018,8,31,"std",20.975
"28",2018,9,2,"raisin",19.625
"29",2018,9,2,"simone",10.8125
"30",2018,9,2,"gagne",10.625
"31",2018,9,2,"std",20.975
"32",2018,9,3,"raisin",19.5
"33",2018,9,3,"simone",10.9375
"34",2018,9,3,"gagne",10.8125
"35",2018,9,3,"std",20.975
"36",2018,9,4,"raisin",19.5625
"37",2018,9,4,"simone",11
"38",2018,9,4,"gagne",10.9375
"39",2018,9,4,"std",20.975
"40",2018,9,5,"raisin",19.5
"41",2018,9,5,"simone",11.125
"42",2018,9,5,"gagne",11
"43",2018,9,5,"std",20.975
"44",2018,9,6,"raisin",19.4375
"45",2018,9,6,"simone",11
"46",2018,9,6,"gagne",10.6875
"47",2018,9,6,"std",20.975
"48",2018,9,7,"raisin",19.375
"49",2018,9,7,"simone",11.0625
"50",2018,9,7,"gagne",11.125
"51",2018,9,7,"std",20.975
"52",2018,9,8,"raisin",19.4375
"53",2018,9,8,"simone",11.25
"54",2018,9,8,"gagne",10.9375
"55",2018,9,8,"std",20.975
"56",2018,9,9,"raisin",19.5
"57",2018,9,9,"simone",11.125
"58",2018,9,9,"gagne",10.8125
"59",2018,9,9,"std",20.975
"60",2018,9,10,"raisin",19.4375
"61",2018,9,10,"simone",11.125
"62",2018,9,10,"gagne",10.8125
"63",2018,9,10,"std",20.975
"64",2018,9,11,"raisin",19.5
"65",2018,9,11,"simone",10.9375
"66",2018,9,11,"gagne",11
"67",2018,9,11,"std",20.975
"68",2018,9,12,"raisin",19.5
"69",2018,9,12,"simone",11.0625
"70",2018,9,12,"gagne",11
"71",2018,9,12,"std",20.975
"72",2018,9,13,"raisin",19.4375
"73",2018,9,13,"simone",11.1875
"74",2018,9,13,"gagne",11
"75",2018,9,13,"std",20.975
"76",2018,9,14,"raisin",19.625
"77",2018,9,14,"simone",11.0625
"78",2018,9,14,"gagne",11.0625
"79",2018,9,14,"std",20.975
"80",2018,9,15,"raisin",19.5
"81",2018,9,15,"std",20.975
"82",2018,9,16,"raisin",19.5625
"83",2018,9,16,"simone",11
"84",2018,9,16,"gagne",11.0625
"85",2018,9,16,"std",20.975
"86",2018,10,1,"raisin",19
"87",2018,10,1,"simone",10.25
"88",2018,10,1,"gagne",10.25
"89",2018,10,2,"raisin",19.375
"90",2018,10,2,"simone",11
"91",2018,10,2,"gagne",10.75
"92",2018,10,2,"std",20.975
"93",2018,10,3,"raisin",19
"94",2018,10,3,"simone",10.625
"95",2018,10,3,"gagne",10.1875
"96",2018,10,3,"std",20.975
"97",2018,10,4,"raisin",18.9375
"98",2018,10,4,"simone",10.5625
"99",2018,10,4,"gagne",10.25
"100",2018,10,4,"std",20.975
"101",2018,10,9,"raisin",19.625
"102",2018,10,9,"simone",10.625
"103",2018,10,9,"gagne",10.6875
"104",2018,10,9,"std",20.975
"105",2018,10,10,"raisin",19.125
"106",2018,10,10,"simone",10.6875
"107",2018,10,10,"gagne",10.6875
"108",2018,10,10,"std",20.975
"109",2018,10,11,"raisin",19.125
"110",2018,10,11,"simone",10.6875
"111",2018,10,11,"gagne",10.5625
"112",2018,10,11,"std",20.975
"113",2018,10,12,"raisin",19.0625
"114",2018,10,12,"simone",10.625
"115",2018,10,12,"gagne",10.6875
"116",2018,10,12,"std",20.975
"117",2018,10,13,"raisin",19.3125
"118",2018,10,13,"simone",10.5625
"119",2018,10,13,"gagne",10.6875
"120",2018,10,13,"std",20.975
"121",2018,10,14,"raisin",19.0625
"122",2018,10,14,"simone",10.5625
"123",2018,10,14,"gagne",10.6875
"124",2018,10,14,"std",20.975
"125",2018,10,15,"raisin",19.25
"126",2018,10,16,"raisin",18.8125
"127",2018,10,16,"simone",10.6875
"128",2018,10,16,"gagne",10.6875
"129",2018,10,16,"std",20.975
"130",2018,10,17,"raisin",18.9375
"131",2018,10,17,"simone",10.8125
"132",2018,10,17,"gagne",10.8125
"133",2018,10,17,"std",20.975
"134",2018,10,18,"raisin",18.875
"135",2018,10,18,"simone",10.75
"136",2018,10,18,"gagne",10.8125
"137",2018,10,18,"std",20.975
"138",2018,10,22,"simone",10.25
"139",2018,10,22,"gagne",10.3125
"140",2018,10,23,"raisin",18.5
"141",2018,10,23,"simone",10.5
"142",2018,10,23,"gagne",10.5
"143",2018,10,23,"std",20.975
"144",2018,10,24,"raisin",18.4375
"145",2018,10,24,"simone",10.75
"146",2018,10,24,"gagne",10.5625
"147",2018,10,24,"std",20.975
"148",2018,10,25,"raisin",18.4375
"149",2018,10,25,"simone",10.5
"150",2018,10,25,"gagne",10.5625
"151",2018,10,26,"raisin",18.5
"152",2018,10,26,"simone",10.5
